,pid,pkey,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pjournal,pjournalfull,pbooktitle,pbooktitlefull,ptype
11,879807,conf/pimrc/caballerosvrjlb04,alejandro linaresbarranco|anton civit balcells|daniel cascado caballero|fernando diaz del rio|gabriel jimenez|jose luis sevillano|saturnino vicente,,performance analysis of singleslave bluetooth piconets under cochannel interference,2004,,,,,,pimrc,int conf on data mining,article
12,767281,conf/webi/ramanujamgkst09,anubha gupta|bhavani m thuraisingham|latifur khan|steven seida|sunitha ramanujam,,rd extracting relational structure from rdf stores,2009,,,,,,,messung,phdthesis
13,514809,conf/ismb/stevensrg03,alan j robinson|carole a goble|robert d stevens,,mygrid personalised bioinformatics on the information grid,2003,,,,,,icsnw,workshop on wireless mobile multimedia,inproceedings
14,32417,conf/advis/kimkyko04,hanyang you|jinho kim|june kim|sooho ok|youngchul kim,,design and implementation of a realtime static locking protocol for mainmemory database systems,2004,,,,,,advis,international joint conference on artificial intelligence,inproceedings
15,2306172,journals/amc/mishraka07,somna mishra|v arora|v k katiyar,,mathematical modeling of chemotherapy strategies in vascular tumor growth using nanoparticles,2007,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,messung,inproceedings
16,2382759,journals/ijbc/brugionihmb07,dong uk hwang|riccardo meucci|stefano boccaletti|stefano brugioni,,coherence resonance in a fitzhughnagumo electronic system,2007,,,,i j bifurcation and chaos,international journal on software tools for technology transfer sttt,,,article
17,61998,conf/aspdac/zhuwa05,stefan andrei|wengfai wong|yongxin zhu,,an integrated performance and power model for superscalar processor designs,2005,,,,,,aspdac,datenbanksysteme in buro,inproceedings
18,714460,conf/snpd/naseerya08,attiq ahmed|muhammad younus|sheraz naseer,,vulnerabilities exposing ieee e networks to dos attacks a survey,2008,,,,,,snpd,world wide web,inproceedings
19,2178312,journals/pe/nebats06,moshe sidi|yoav nebat,,parallel downloads for streaming applications  a resequencing analysis,2006,,,,perform eval,international journal of metadata,,messung,article
20,616200,conf/p2p/hugheswl07,danny hughes|james walkerdine|kevin lee,,the effect of viral media on business usage of pp,2007,,,,,,peertopeer computing,international symposium on bioinformatics research and applications,inproceedings
21,423660,conf/icra/fuchsbgbklgspkbswh09,andreas baumann|christoph borst|erich kramer|florian schmidt|georg plank|gerd hirzinger|jorg langwald|klaus kunze|matthias fuchs|nikolaus seitz|paolo robuffo giordano|robert burger|robin gruber|thomas wimbock,,rollin justin  design considerations and realization of a mobile platform for a humanoid upper body,2009,,,,,,,messung,inproceedings
22,331837,conf/iccad/liw98,wayne wolf|yanbing li,,hardwaresoftware cosynthesis with memory hierarchies,1998,,,,,,iccad,agile development conference,inproceedings
23,26127,conf/acm/laift86,f tsay|j h fang|p f lai,,waveform correlation using relational tree abstract,1986,,,,,,acm conference on computer science,international conference on quality software,inproceedings
24,88387,conf/caise/muller09,jens muller,,supporting change in business process models using patternbased constraints,2009,,,,,,bmmdsemmsad,modeling,inproceedings
25,2402203,journals/at/winklerl09,boris lohmann|franz j winkler,,flachheitsbasierte steuerung und beobachtung von transportprozessen mit verteiltem eingriff flatnessbased control and observer design for transport processes with distributed control,2009,,,,automatisierungstechnik,international journal of electronic business ijeb,,messung,inproceedings
26,2156238,journals/nar/ansariygm04,debasisa mohanty|gitanjali yadav|mohd zeeshan ansari|rajesh s gokhale,,nrpspks a knowledgebased resource for analysis of nrpspks megasynthases,2004,,,,nucleic acids research,international journal of ad hoc and ubiquitous computing ijahuc,,,article
27,2161801,journals/neco/aussem02,alex aussem,,sufficient conditions for error backflow convergence in dynamical recurrent neural networks,2002,,,,,,,messung,article
28,2304288,journals/amc/longcc05,kefei chen|yu long|zhenfu cao,,a dynamic threshold commercial key escrow scheme based on conic,2005,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,messung,article
29,2239416,journals/tcs/chenglnww04,guohui lin|junfeng wu|robert niewiadomski|yang wang |yong gao|zhizhong chen,,a spaceefficient algorithm for sequence alignment with inversions and reversals,2004,,,,theor comput sci,acm transactions on computation theory toct,asiaccs,genetic and evolutionary computation conference,inproceedings
30,2159272,journals/nar/chenwljw06,caiyan jia|fei wang|lusheng chen|shaoping ling|wei wang ,,kemadom a web server for domain prediction using kernel machine with local context,2006,,,,nucleic acids research,international journal of ad hoc and ubiquitous computing ijahuc,,,inproceedings
31,2117362,journals/jnsm/kimh01,jaeyoung kim|james wonki hong,,monitoring edgetoedge traffic aggregates in differentiated services networks,2001,,,,j network syst manage,journal of theoretical and applied electronic commerce research,,messung,inproceedings
32,2097875,journals/jcmc/eastinl00,matthew s eastin|robert larose,,internet selfefficacy and the psychology of the digital divide,2000,,,,j computermediated communication,international journal of high performance computing applications,,messung,article
33,38211,conf/aict/melloukg06,abdelhamid mellouk|mustapha guezouri,,a new methodology to adapt sip protocol for voice traffic transported over ip network,2006,,,,,,aicticiw,parallel architectures and languages europe,inproceedings
34,844018,conf/conext/ruminjgs08,carmen guerrero|eva jaho|ioannis stavrakakis|ruben cuevas rumin,,onmove a protocol for content distribution in wireless delay tolerant networks based on social information,2008,,,,,,conext,software engineering and data engineering,inproceedings
35,774779,conf/wimaw/birk08a,andreas birk,,tutorium effektives testmanagement  vom notwendigen ubel zum erfolgsfaktor fur it und geschaftserfolg,2008,,,,,,industrialisierung des software management,international conference on data engineering,inproceedings
36,886649,conf/mie/diasovm06,fernando martinsanchez|gaspar s dias|javier vicente|jose luis oliveira,,integrating medical and genomic data a sucessful example for rare diseases,2006,,,,,,mie,advanced video and signal based surveillance,inproceedings
37,2332010,journals/eor/chandraa00a,abha|s chandra,,a note on pseudoinvexity and duality in nonlinear programming,2000,,,,european journal of operational research,journal of communications,,messung,article
38,652549,conf/qsic/chenlw07,congwu chen|jun wei|lei li,,aop based trustable sla compliance monitoring for web services,2007,,,,,,qsic,algorithmic applications in management,inproceedings
39,166440,conf/date/akgulm01,bilge saglam akgul|vincent john mooney iii,,systemonachip processor synchronization support in hardware,2001,,,,,,date,lernen,phdthesis
40,2200048,journals/scjapan/suzukiio99,jun okui|minoru ito|nobutaka suzuki,,on the possibility of path expressions containing backward navigations in objectoriented databases,1999,,,,,,,messung,article
41,306609,conf/iat/minzcz08,huaqing min|jiaan zeng|jian chen|jinhui zhu,,a study of reinforcement learning in a new multiagent domain,2008,,,,,,,,article
42,1915136,journals/corr/abs-0802-2868,christian glasser|heinz schmitz|victor l selivanov,,efficient algorithms for membership in boolean hierarchies of regular languages,2008,,,,corr,international journal of wireless information networks,,,article
43,574520,conf/mascots/zhoua94,bin zhou|mohammed atiquzzaman,,performance of outputmultibuffered multistage interconnection networks,1994,,,,,,mascots,dependable systems and networks,inproceedings
44,346841,conf/icdar/zhusmhn09,akihiro minagawa|jun sun |satoshi naoi|yoshinobu hotta|yuanping zhu,,separate chinese character and english character by cascade classifier and feature selection,2009,,,,,,ieee real time technology and applications symposium,advances in databases and information systems,inproceedings
45,217348,conf/ersa/suardimag09,andrea abba|andrea suardi|angelo geraci|antonio manenti,,highefficiency fpga fullybased implementation of the conjugate gradient method,2009,,,,,,metmbs,workshop on algorithms and data structures,inproceedings
46,2349218,journals/tnn/chenlkw10,danmei chen|sheng li|si wu|zoe kourtzi,,behaviorconstrained support vector machines for fmri data analysis,2010,,,,,,,messung,article
47,2290521,journals/tvlsi/yehlchal94,chingwei yeh|chungkuan cheng|lungtien liu|m liddel|s ahmed|t c hu,,blockoriented programmable design with switching network interconnect,1994,,,,ieee trans vlsi syst,journal of convergence information technology,,messung,inproceedings
48,168313,conf/date/wangxvi06,feng wang |mary jane irwin|narayanan vijaykrishnan|yuan xie,,onchip bus thermal analysis and optimization,2006,,,,,,date,lernen,incollection
49,502128,conf/iscas/rovattics02,gianluca setti|riccardo rovatti|sergio callegari,,on the correlation of nonjittered and chaoticallyjittered pwm signals carrying maximum information,2002,,,,,,iscas ,australasian conference on information security and privacy,inproceedings
50,195687,conf/ecai/berggns10,amy r greenwald|eric sodomka|jordan berg|victor naroditskiy,,a knapsackbased approach to bidding in ad auctions,2010,,,,,,iscas ,international conference on interaction sciences,inproceedings
51,1961224,journals/dss/chouc08,shihwei chou|yuchieh chang,,the implementation factors that influence the erp enterprise resource planning benefits,2008,,,,decision support systems,international journal of wireless and mobile computing ijwmc,,messung,article
52,822127,conf/cec/abdullahtmm10,barry mccollum|hamza turabieh|paul mcmullan|salwani abdullah,,a multiobjective post enrolment course timetabling problems a new case study,2010,,,,,,pact,distributed applications and interoperable systems,inproceedings
53,220689,conf/esm/huttungenip02,jari porras|jouni ikonen|pentti huttunen,,mpit  a programming paradigm for networks of smp workstations,2002,,,,,,,messung,inproceedings
54,2176123,journals/pc/lihz97,nanning zheng|wei li |xiaohu huang,,parallel implementing opengl on pvm,1997,,,,parallel computing,international journal of digital crime and forensics ijdcf,,,inproceedings
55,2061371,journals/ipm/pessiotkag10,jeanfrancois pessiot|massihreza amini|patrick gallinari|youngmin kim,,improving document clustering in a learned concept space,2010,,,,inf process manage,international journal of knowledge management ijkm,,messung,article
56,734862,conf/tapsoft/mullernp97,andreas podelski|joachim niehren|martin muller,,inclusion constraints over nonempty sets of trees,1997,,,,,,tapsoft,journal of computing and information technology,inproceedings
57,1814536,journals/actac/phelfst81,l c thomas|r i phelfs,,on optimal performance in selforganizing paging algorithms,1981,,,,acta cybern,international journal of intelligent systems technologies and applications ijista,,,article
58,830099,conf/globecom/liucs06,kuanghao liu|lin cai|xuemin shen,,performance enhancement of medium access control for uwb wpan,2006,,,,,,globecom,conference on current trends in theory and practice of informatics,inproceedings
59,516419,conf/ismis/liuzo00,chunnian liu|ning zhong|setsuo ohsuga,,a multiagent based architecture for distributed kdd process,2000,,,,,,ismis,topic maps research and applications,inproceedings
60,492505,conf/isbi/techavipooolsdll09,alex dresner|annette okai|jianrong shi|john lackey|song lai|thomas leist|udomchai techavipoo,,human optic nerve dti with epi geometric distortion correction,2009,,,,,,isbi,international conference on computer design,inproceedings
61,688913,conf/sicherheit/schmerlfm06,michael meier|sebastian schmerl|ulrich flegel,,vereinfachung der signaturentwicklung durch wiederverwendung,2006,,,,,,sicherheit,international conference on automated planning and scheduling,inproceedings
62,1916265,journals/corr/abs-0805-4471,benjamin recht|emmanuel j candes,,exact matrix completion via convex optimization,2008,,,,corr,international journal of wireless information networks,,messung,inproceedings
63,2359042,journals/pervasive/schmidtsk10,albrecht schmidt|dagmar kern|wolfgang spiessl,,driving automotive user interface research,2010,,,,,,,,inproceedings
64,494698,conf/iscas/cailzh05,bin liu|qiang zhou|xianlong hong|yici cai,,integrated routing resource assignment for rlc crosstalk minimization,2005,,,,,,sigmod conference,architektur von rechensystemen,inproceedings
65,1925392,journals/corr/abs-1005-0162,abdulrahman alsharawi|ali alhazmi|bing liu |deyvisson oliveira|kanj sobh|max mayantz|robin de bled|yu ming zhang,,software requirements specification of the iufas uuis  a team  compw project approach,2010,,,,corr,international journal of wireless information networks,,,article
66,880631,conf/wsom/herrmannu09,alfred ultsch|lutz herrmann,,clustering with swarm algorithms compared to emergent som,2009,,,,,,,messung,inproceedings
67,524853,conf/ispec/jianglhd05,chen li |shuang hao|wenbao jiang|yiqi dai,,using trust for restricted delegation in grid environments,2005,,,,,,ispec,ieee international conference on bioinformatics and bioengineering,inproceedings
68,912960,conf/icee/wangzm10,aiyun wang|chunying zheng|junyun ma,,a discussion on the status quo of human resources management and innovative mode in university library,2010,,,,,,,messung,inproceedings
69,840243,conf/mum/nylander08,stina nylander,,where would you bring your laptop live blogging in an outdoors mechanical shop,2008,,,,,,mum,software engineering,inproceedings
70,622652,conf/pcm/fanzw01,jianping fan|lide wu|xingquan zhu,,seeded semantic object generation toward contentbased video indexing,2001,,,,,,ieee pacific rim conference on multimedia,international joint conference on artificial intelligence,phdthesis
71,529032,conf/issta/sullivanyckj04,daniel jackson|david coppit|jinlin yang|kevin j sullivan|sarfraz khurshid,,software assurance by bounded exhaustive testing,2004,,,,,,issta,software product lines,inproceedings
72,2296491,journals/wi/hasenkamps09,peter stahlknecht|ulrich hasenkamp,,das fach wirtschaftsinformatik im spiegel seiner zeitschrift,2009,,,,wirtschaftsinformatik,international journal of bioinformatics research and applications ijbra,,,article
73,1919290,journals/corr/abs-0904-1281,bixio rimoldi|marius kleiner,,asymptotically optimal joint sourcechannel coding with minimal delay,2009,,,,corr,international journal of wireless information networks,,messung,article
74,1887541,journals/comcom/lees99,jooseok song|yong lee ,,an overload control of scp in advanced intelligent network with fairness and priority,1999,,,,computer communications,international journal of embedded systems ijes,,messung,article
75,361187,conf/ices/helyzt07,guoliang he|hang tu|li yu|wei zhang|yuanxiang li,,design of electronic circuits using a divideandconquer approach,2007,,,,,,ices,information reuse and integration,inproceedings
76,404073,conf/icpads/lvdc08,chao lv|jinjun chen|wanchun dou,,qosaware service selection using qdg for bb collaboration,2008,,,,,,icpads,pacificasia conference on knowledge discovery and data mining,inproceedings
77,30571,conf/adbis/brdjaninmg10,dejan gunjic|drazen brdjanin|slavko maric,,adbdesign an approach to automated initial conceptual database design based on business activity diagrams,2010,,,,,,adbis,computer graphics,inproceedings
78,2018253,journals/ife/conrad02,stefan conrad,,schemaintegration integrationskonflikte losungsansaatze aktuelle herausforderungen,2002,,,,inform forsch entwickl,international journal of web engineering and technology,,messung,article
79,2139167,journals/kais/marsolop08,keith marsolo|srinivasan parthasarathy,,on the use of structure and sequencebased features for protein classification and retrieval,2008,,,,knowl inf syst,international journal of agentoriented software engineering ijaose,,,article
80,1909189,journals/corr/abs-0704-1829,grzegorz matecki|kamil kloch|piotr micek|stefan felsner,,online chain partitioning of upgrowing orders the case of dimensional orders and semiorders,2007,,,,corr,international journal of wireless information networks,,messung,article
81,161777,conf/dagstuhl/gaussierpn03,jacqueline nadel|ken prepin|philippe gaussier,,toward a cognitive system algebra application to facial expression learning and imitation,2003,,,,,,embodied artificial intelligence,international conference on database theory,inproceedings
82,639380,conf/policy/suricbbcgsu03,andrzej uszok|jeffrey m bradshaw|maggie r breedy|marco m carvalho|niranjan suri|paul t groth|raul saavedra|thomas b cowin,,enforcement of communications policies in software agent systems through mobile code,2003,,,,,,,messung,phdthesis
83,561297,conf/ki/zhangw09,rui wang |yi zhang ,,correlating natural language parser performance with statistical measures of the text,2009,,,,,,ki,international symposium on physical design,inproceedings
84,909668,conf/ncm/chenyz09,can zhang|guang yang|haopeng chen,,a closedloop mechanism for service evaluating and discovering on the internet,2009,,,,,,,messung,inproceedings
85,2358555,journals/cphysics/mullerg10,frank grave|thomas muller,,geodesicviewer  a tool for exploring geodesics in the theory of relativity,2010,,,,computer physics communications,acm journal on emerging technologies in computing systems,,messung,article
86,700916,conf/sigmetrics/karbasio10,amin karbasi|sewoong oh,,distributed sensor network localization from local connectivity performance analysis for the hopterrain algorithm,2010,,,,,,sigmetrics,sigmetrics performance evaluation review,phdthesis
87,889133,conf/nas/yuanbcs09,mingyu chen|ninghui sun|qingbo yuan|yungang bao,,a scalability analysis of the symmetric multiprocessing architecture in multicore system,2009,,,,,,,messung,article
88,54746,conf/appt/daizw07,jianqin zhou|kaihou wang|xiaoping dai,,an algorithm to find optimal doubleloop networks with nonunit steps,2007,,,,,,appt,adaptive hardware and systems,inproceedings
89,234505,conf/ewsa/guidi-polancocm05,claudio cubillos|franco guidipolanco|giuseppe menga,,architecting global automation systems over a distributed multiagent infrastructure,2005,,,,,,ewsa,workshop on internet and network economics,phdthesis
90,1917232,journals/corr/abs-0809-3009,karin hodnigg|roland t mittermeir,,metricsbased spreadsheet visualization support for focused maintenance,2008,,,,corr,international journal of wireless information networks,,messung,article
91,507635,conf/iscc/sriramanbmr07,anusha sriraman|kevin r b butler|padma raghavan|patrick drew mcdaniel,,analysis of the ipv address space delegation structure,2007,,,,,,iscc,conference on innovative data systems research,inproceedings
92,185781,conf/dlog/couletsnd08,adrien coulet|amedeo napoli|malika smailtabbone|mariedominique devignes,,ontology refinement through role assertion analysis example in pharmacogenomics,2008,,,,,,,,article
93,160809,conf/dagm/weyfbb06,bernd fischer|herbert bay|joachim m buhmann|peter wey,,dense stereo by triangular meshing and cross validation,2006,,,,,,,messung,phdthesis
94,510057,conf/iser/elmaraghym93,atef t massoud|hoda a elmaraghy,,adaptive dynamic hybrid position and force control of flexible joint robot manipulators,1993,,,,,,,messung,inproceedings
95,340826,conf/iccsa/corderosj06,isidro ramos salavert|jose torresjimenez|rogelio n limon cordero,,designing aspectual architecture views in aspectoriented software development,2006,,,,,,,messung,inproceedings
96,832367,conf/globecom/tianljlw08,chen tian|hongbo jiang|wenyu liu|xue liu|yi wang,,improving bittorrent traffic performance by exploiting geographic locality,2008,,,,,,globecom,conference on current trends in theory and practice of informatics,phdthesis
97,2092282,journals/jcc/wangck00,junmei wang|peter a kollman|piotr cieplak,,how well does a restrained electrostatic potential resp model perform in calculating conformational energies of organic and biological molecules,2000,,,,journal of computational chemistry,kunstliche intelligenz,,,article
98,14934,conf/aaai/deckersw96,katia p sycara|keith decker|mike williamson,,modeling information agents advertisement organizational roles and dynamic behavior,1996,,,,,,aamas,international conference on multimedia and expo,inproceedings
99,169216,conf/date/modarressisa09,hamid sarbaziazad|mehdi modarressi|mohammad arjomand,,a hybrid packetcircuit switched onchip network based on sdm,2009,,,,,,date,autonomous agents and multiagent systems,article
100,99208,conf/ccs/lidllml10,bin liu|jianfeng lu|kai li|meng dong|ruixuan li|xiaopu ma,,sectag a multipolicy supported secure web tag framework,2010,,,,,,acm conference on computer and communications security,international conference on distributed systems platforms and open distributed processing,inproceedings
101,271847,conf/gi/hertelklvtpb09,andreas thiel|dagmar krefting|frank hertel|fred viezens|johannes bernarding|kathrin peter|ralf lutzkendorf,,diffusionstensorimaging als gridanwendung  perfomanzsteigerung und standortunabhangiger zugang zu leistungsfahigen ressourcen,2009,,,,,,,messung,inproceedings
102,889123,conf/nas/00020l09,bin zeng |haiqin liu|jun wei ,,dynamic grid resource scheduling model using learning agent,2009,,,,,,nas,international conference on artificial intelligence and law,inproceedings
103,2290061,journals/tvlsi/neves0f04,amaury neve|denis flandre|helmut schettler|thomas ludwig ,,powerdelay product minimization in highperformance bit carryselect adders,2004,,,,ieee trans vlsi syst,journal of convergence information technology,,messung,incollection
104,149994,conf/ctrsa/libertv09,benoit libert|damien vergnaud,,adaptiveid secure revocable identitybased encryption,2009,,,,,,ctrsa,text retrieval conference,inproceedings
105,2330235,journals/eor/litw09,fan wang|yanzhi li|yi tao ,,a compromised largescale neighborhood search heuristic for capacitated air cargo loading planning,2009,,,,,,,,article
106,687387,conf/sfp/hammonddfhhjlmpssw05,andy wallace|christian ferdinand|greg michaelson|hanswolfgang loidl|jocelyn serot|kevin hammond|martin hofmann|norman scaife|reinhold heckmann|robert f pointon|roy dyckhoff|steffen jost,,the embounded project project start paper,2005,,,,,,,messung,inproceedings
107,112590,conf/cikm/zhangf06,jian zhang |joan feigenbaum,,finding highly correlated pairs efficiently with powerful pruning,2006,,,,,,cikm,international workshop on quality of service,inproceedings
108,852776,conf/springsim/belforeaw09,amy b adcock|ginger s watson|lee a belfore ii,,introducing digital logic and electronics concepts in a gamelike environment,2009,,,,,,,,phdthesis
109,460602,conf/ijcai/yangpm05,hui yang|sameep mehta|srinivasan parthasarathy,,mining spatial object associations for scientific data,2005,,,,,,ijcai,inroads acm sigcse bulletin|acm sigcse bulletin,inproceedings
110,779864,conf/wosp/sankarasettymfhc07,jayshankar sankarasetty|kevin mobley|libby foster|tad hammer|terri calderone,,software performance in the real world personal lessons from the performance trauma team,2007,,,,,,wosp,hypertext,inproceedings
111,1926975,journals/corr/abs-1007-2675,bin fu|robert t schweller|yang liu|zhixiang chen,,algorithms for testing monomials in multivariate polynomials,2010,,,,corr,international journal of wireless information networks,,messung,article
112,621112,conf/parle/briatfgk91,claudio f r geyer|jacques briat|jacques chassin de kergommeaux|m favre,,schheduling of orparallel prolog on a scalable reconfigurable distributedmemory multiprocessor,1991,,,,,,parle ,european conference on artificial life,inproceedings
113,323637,conf/icc/wanga00a,bo wang |tulay adali,,timedmain equalizer design for discrete multitone systems,2000,,,,,,,messung,phdthesis
114,361845,conf/icete/silvascd05,francisco cercas|joao carlos silva|nuno souto|rui dinis,,iterative mmse detection for mimoblast dscdma systems in frequency selective fading channels achieving high performance in fully loaded systems,2005,,,,,,eics,design automation conference,phdthesis
115,47969,conf/ams/kaspermp98,dirk muller|ewald von puttkamer|michael kasper,,ein verhaltensorientierter ansatz zum flachendeckenden fahren in a priori unbekannter umgebung,1998,,,,,,,messung,inproceedings
116,2316179,journals/mr/sowarirajssmk02,cora salm|fred g kuper|m s b sowariraj|theo smedes|ton j mouthaan,,the influence of technology variation on ggnmosts and scrs against cdm bsd stress,2002,,,,microelectronics reliability,journal of digital content technology and its applications,,messung,inproceedings
117,543321,conf/iwann/ortegagpmpa09,alexander perekrestenko|alfonso ortega|diana perez|emilio del rosal garcia|manuel alfonseca|robert mercas,,pneps neps for context free parsing application to natural language processing,2009,,,,,,,,inproceedings
118,91684,conf/cata/shimskp04,chang oan sung|charlie y shim|jinoo park|jung y kim,,a methodology for developing an adjustable security design metric by mapping software testing into security testing,2004,,,,,,,messung,inproceedings
119,494887,conf/iscas/chanx04,s c chan|xuemei xie,,a rational subdivision scheme using cosinemodulated wavelets,2004,,,,,,iscas ,australasian conference on information security and privacy,phdthesis
120,557444,conf/kes/liuymm03,bing liu |dennis maier|maoyuan yu|reinhard manner,,accelerated bundle adjustment in multipleview reconstruction,2003,,,,,,kes,world conference on the www and internet,inproceedings
121,223220,conf/etrics/schmerlkfm06,hartmut konig|michael meier|sebastian schmerl|ulrich flegel,,simplifying signature engineering by reuse,2006,,,,,,amw,body sensor networks,inproceedings
122,208232,conf/edoc/meijlerpw06,douwe postmus|hans wortmann|theo dirk meijler,,towards modeldriven evolvability of enterprise information systems,2006,,,,,,edoc,international conference on advanced learning technologies,inproceedings
123,743519,conf/uist/klemmernfbo01,james a landay|mark bilezikjian|mark w newman|ryan farrell|scott r klemmer,,the designers outpost a tangible interface for collaborative web site,2001,,,,,,,messung,inproceedings
124,1850071,journals/bmcbi/tritchlerpb09,david tritchler|elena parkhomenko|joseph beyene,,filtering genes for cluster and network analysis,2009,,,,bmc bioinformatics,international journal of intelligent information and database systems ijiids,,messung,article
125,2179261,journals/ppl/gascardp03,eric gascard|laurence pierre,,formal proof of applications distributed in symmetric interconnection networks,2003,,,,,,,messung,article
126,307488,conf/iberamia/vazquez10,roberto antonio vazquez,,pattern recognition using spiking neurons and firing rates,2010,,,,,,iberamia,casebased reasoning and development,article
127,1925394,journals/corr/abs-1005-0169,abdulrahman alsharawi|ali alhazmi|bing liu |deyvisson oliveira|kanj sobh|max mayantz|robin de bled|yu ming zhang,,software design document testing deployment and configuration management and user manual of the uuis  a team  compw project approach,2010,,,,corr,international journal of wireless information networks,,,incollection
128,2305613,journals/amc/loghmania07,g b loghmani|m ahmadinia,,numerical solution of sixth order boundary value problems with sixth degree bspline functions,2007,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,messung,inproceedings
129,61793,conf/aspdac/sudaahnhm09,akira nukada|hiroki honda|reiji suda|satoshi matsuoka|shoichi hirasawa|takayuki aoki,,aspects of gpu for general purpose high performance computing,2009,,,,,,aspdac,datenbanksysteme in buro,inproceedings
130,310744,conf/icadl/xinggz05,chunxiao xing|fengrong gao|lizhu zhou,,drms massive digital resource management system based on oss,2005,,,,,,,messung,inproceedings
131,208626,conf/eds/prietulad86,gary dickson|michael prietula,,flexible interfaces and the support of physical database design reasoning,1986,,,,,,expert database conf,foundations of computer science csrea,article
132,44419,conf/aips/dornhegeektbn09,bernhard nebel|christian dornhege|michael brenner|patrick eyerich|sebastian trug|thomas keller,,semantic attachments for domainindependent planning systems,2009,,,,,,,,inproceedings
133,221764,conf/esorics/wangddb06,feng bao|robert h deng|shuhong wang|xuhua ding,,private information retrieval using trusted hardware,2006,,,,,,,messung,inproceedings
134,1950370,journals/dm/mills01,donald mills,,factorizations of rootbased polynomial compositions,2001,,,,discrete mathematics,journal of information  knowledge management,,messung,article
135,883093,conf/cdc/brownhp09,fei he|george papadopoulos |martin brown,,dynamic basis pursuit regularization for complex biochemical pathway identification,2009,,,,,,,messung,inproceedings
136,436384,conf/icwl/chengaj03,leung cheng|puion au|weijia jia,,wireless anyserver  a mobile ad hoc webbased learning system,2003,,,,,,icwl,workshop on power and timing modeling,inproceedings
137,612283,conf/oopsla/kimbcgw87,darrell woelk|hongtai chou|jay banerjee|jorge f garza|won kim,,composite object support in an objectoriented database system,1987,,,,,,oopsla,international symposiumconference on music information retrieval,inproceedings
138,596765,conf/mse/murphyfwhmc03,erik welsh|j patrick frantz|joseph r cavallaro|patrick murphy|ricky hardy|tinoosh mohsenin,,valid custom asic verification and fpga education platform,2003,,,,,,,messung,inproceedings
139,74795,conf/bibe/chenpthp07,bernard chen|phang c tai|robert w harrison|stephen pellicer|yi pan,,super granular shrinksvm feature elimination super gssvmfe model for protein sequence motif information extraction,2007,,,,,,bibe,cluster computing,inproceedings
140,151828,conf/cvpr/slabaughu05,gozde b unal|gregory g slabaugh,,active polyhedron surface evolution theory applied to deformable meshes,2005,,,,,,,,phdthesis
141,2150142,journals/monet/giupponiaps06,jordi perezromero|lorenza giupponi|oriol sallent|ramon agusti,,a framework for jrrm with resource reservation and multiservice provisioning in heterogeneous networks,2006,,,,,,,messung,article
